Rk,Date,Round,Venue,Scorer,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type.1,Notes,Team,League
10,2024-08-31,Matchweek 3,Away,Charlie Cresswell(OG),Toulouse,Y,,,,,52,2-0,Guillaume Restes,,,,,,Own Goal,Marseille,Ligue1
11,2024-09-14,Matchweek 4,Home,Neal Maupay,Nice,Y,0.1,0.69,Head,10.0,40,0-0,Marcin Bułka,,Pierre Højbjerg,Pass (Live),Luis Henrique,Pass (Live),,Marseille,Ligue1
12,2024-09-14,Matchweek 4,Home,Luis Henrique,Nice,Y,0.07,0.83,Right Foot,21.0,53,1-0,Marcin Bułka,Amine Harit,Amine Harit,Pass (Live),Luis Henrique,Pass (Live),,Marseille,Ligue1
13,2024-09-22,Matchweek 5,Away,Pol Lirola,Lyon,N,0.16,0.63,Right Foot,16.0,69,0-1,Lucas Perri,Luis Henrique,Luis Henrique,Pass (Live),Ulisses Garcia,Pass (Live),,Marseille,Ligue1
14,2024-09-22,Matchweek 5,Away,Ulisses Garcia,Lyon,N,0.08,0.51,Left Foot,15.0,82,1-1,Lucas Perri,Pol Lirola,Pol Lirola,Pass (Live),Valentin Rongier,Pass (Live),,Marseille,Ligue1
15,2024-09-22,Matchweek 5,Away,Jon Rowe,Lyon,N,0.04,0.21,Right Foot,20.0,90+5,2-2,Lucas Perri,,Jon Rowe,Take-On,,,,Marseille,Ligue1
16,2024-10-04,Matchweek 7,Home,Jon Rowe,Angers,N,0.09,0.43,Right Foot,12.0,51,0-0,Yahia Fofana,,Mason Greenwood,Pass (Live),Leonardo Balerdi,Pass (Live),,Marseille,Ligue1
17,2024-10-20,Matchweek 8,Away,Elye Wahi,Montpellier,Y,0.91,0.99,Right Foot,4.0,1,0-0,Benjamin Lecomte,Jon Rowe,Jon Rowe,Shot,,,,Marseille,Ligue1
18,2024-10-20,Matchweek 8,Away,Amine Harit,Montpellier,Y,0.37,0.49,Right Foot,11.0,36,1-0,Benjamin Lecomte,Ulisses Garcia,Ulisses Garcia,Pass (Live),Adrien Rabiot,Pass (Live),,Marseille,Ligue1
19,2024-10-20,Matchweek 8,Away,Pierre Højbjerg,Montpellier,Y,0.11,0.77,Right Foot,17.0,40,2-0,Benjamin Lecomte,Mason Greenwood,Mason Greenwood,Pass (Live),Amine Harit,Pass (Live),,Marseille,Ligue1
20,2024-10-20,Matchweek 8,Away,Mason Greenwood,Montpellier,Y,0.12,0.76,Right Foot,11.0,58,3-0,Benjamin Lecomte,Elye Wahi,Elye Wahi,Pass (Live),Elye Wahi,Take-On,,Marseille,Ligue1
21,2024-10-20,Matchweek 8,Away,Luis Henrique,Montpellier,N,0.18,0.68,Left Foot,4.0,73,4-0,Benjamin Lecomte,,Amine Harit,Pass (Live),Pierre Højbjerg,Pass (Live),,Marseille,Ligue1
1,2024-08-17,Matchweek 1,Home,Takumi Minamino,Saint-Étienne,Y,0.27,0.22,Right Foot,17.0,28,0-0,Gautier Larsonneur,Vanderson,Vanderson,Pass (Live),Philipp Köhn,Pass (Live),Volley,Monaco,Ligue1
2,2024-08-24,Matchweek 2,Away,Eliesse Ben Seghir,Lyon,Y,0.03,0.35,Right Foot,15.0,65,0-0,Lucas Perri,Maghnes Akliouche,Maghnes Akliouche,Pass (Live),Eliesse Ben Seghir,Pass (Live),,Monaco,Ligue1
3,2024-08-24,Matchweek 2,Away,Lamine Camara,Lyon,Y,0.23,0.84,Right Foot,5.0,80,1-0,Lucas Perri,Kassoum Ouattara,Kassoum Ouattara,Pass (Live),Ismail Jakobs,Pass (Live),,Monaco,Ligue1
4,2024-09-01,Matchweek 3,Home,Denis Zakaria,Lens,Y*,0.04,0.51,Head,11.0,84,0-0,Brice Samba,Caio Henrique Oliveira Silva,Caio Henrique Oliveira Silva,Pass (Dead),Caio Henrique Oliveira Silva,Pass (Live),,Monaco,Ligue1
5,2024-09-14,Matchweek 4,Away,Thilo Kehrer,Auxerre,Y,0.09,0.15,Head,5.0,8,0-0,Donovan Léon,Lamine Camara,Lamine Camara,Pass (Dead),,,,Monaco,Ligue1
6,2024-09-14,Matchweek 4,Away,Vanderson,Auxerre,Y,0.14,0.31,Left Foot,13.0,25,1-0,Donovan Léon,Denis Zakaria,Vanderson,Take-On,Denis Zakaria,Pass (Live),,Monaco,Ligue1
7,2024-09-14,Matchweek 4,Away,Denis Zakaria,Auxerre,Y*,0.59,0.44,Right Foot,3.0,89,2-0,Donovan Léon,,Thilo Kehrer,Shot,,,,Monaco,Ligue1
8,2024-09-22,Matchweek 5,Home,Jordan Teze,Le Havre,Y,0.88,0.99,Right Foot,1.0,9,0-0,Arthur Desmas,Takumi Minamino,Takumi Minamino,Pass (Live),Folarin Balogun,Shot,Volley,Monaco,Ligue1
9,2024-09-22,Matchweek 5,Home,Eliesse Ben Seghir,Le Havre,N,0.05,0.7,Right Foot,21.0,66,1-1,Arthur Desmas,Wilfried Singo,Wilfried Singo,Pass (Live),Wilfried Singo,Tackle,,Monaco,Ligue1
10,2024-09-22,Matchweek 5,Home,Folarin Balogun,Le Havre,Y,0.37,0.53,Right Foot,14.0,70,2-1,Arthur Desmas,George Ilenikhena,George Ilenikhena,Pass (Live),Denis Zakaria,Interception,,Monaco,Ligue1
11,2024-09-28,Matchweek 6,Home,Folarin Balogun,Montpellier,Y,0.61,0.45,Left Foot,10.0,32,0-1,Dimitry Bertaud,Breel Embolo,Breel Embolo,Pass (Live),Denis Zakaria,Pass (Live),,Monaco,Ligue1
12,2024-09-28,Matchweek 6,Home,Lamine Camara,Montpellier,N,0.1,0.05,Right Foot,21.0,90+8,1-1,Dimitry Bertaud,Breel Embolo,Breel Embolo,Pass (Live),Denis Zakaria,Pass (Live),,Monaco,Ligue1
